instance_id,condition,size,depth,loss,p_feasible,fidelity,conditional_fidelity,entropy,min_conditional_probability,coverage,compile_seconds,optimize_seconds
a_5_equality_02,fidelity,5,2,7.516430249978241e-05,0.999955512813717,0.9999248356975006,0.9999693215189843,0.999999867772444,0.33318473350157585,1.0,0.0009988071396946907,2.128784296102822
a_5_equality_02,lambda_0.5,5,1,0.014326146409490148,0.9999667952730115,0.9713818610944608,0.9714141166349964,0.9464129706185608,0.24950973692025777,1.0,0.0005985316820442677,1.145564912352711
a_5_equality_02,lambda_0.5,5,2,0.00016216508636268667,0.999860032373227,0.9998156436678994,0.999955605080821,0.9999959694116525,0.3320519715930564,1.0,0.0009386460296809673,2.1194333862513304
a_5_equality_02,lambda_1,5,1,0.028734284740955962,0.9995889144220164,0.9712773585177427,0.971676800837028,0.9469106237183222,0.24955593077588226,1.0,0.00063280388712883,1.1509859268553555
a_5_equality_02,lambda_1,5,2,0.0001835409771125951,0.9998581394870835,0.9998164649356994,0.9999583195358039,0.9999782045808734,0.33027294568256743,1.0,0.0009712469764053822,2.129684836603701
a_5_equality_02,lambda_2,5,1,0.03396522253181089,0.9699169514307024,0.9680342582633802,0.9980589130187434,0.9965056191213331,0.2924826340173548,1.0,0.0006587980315089226,1.142715041525662
a_5_equality_02,lambda_2,5,2,0.0005464260062333359,0.9994658983947131,0.9994597394854811,0.9999938377995268,0.9999917683101067,0.33190909601383534,1.0,0.001293625682592392,2.121633239556104
a_5_equality_03,feasibility,5,1,-0.987903819059587,0.9939519095297936,0.6686257903527406,0.6726943063764984,0.9508221908927643,0.24725910929905115,1.0,1.4072589189745486,1.1053860820829868
a_5_equality_03,feasibility,5,2,-0.9999999342276857,0.9999999671138429,0.497764261665605,0.49776427803515927,0.5731062431400611,0.008161342073467045,1.0,2.5325390021316707,2.140450236853212
a_5_equality_03,feasibility,5,3,-0.9999999995838922,0.9999999997919461,0.6127949938117342,0.6127949939392285,0.754732762898629,0.05576377508340895,1.0,3.879194493871182,3.25032159127295
a_5_equality_03,feasibility,5,4,-0.9999999991538346,0.9999999995769173,0.27371355230163275,0.2737135524174362,0.832580469593153,0.08251229968286398,1.0,5.411406120751053,4.248870987910777
a_5_equality_03,feasibility,5,5,-0.9999999997607949,0.9999999998803976,0.3052008769965468,0.30520087703304954,0.8348229597930324,0.09226153234808025,1.0,6.747981456108391,5.470977815799415
a_5_equality_03,feasibility,5,6,-0.9999999995403055,0.9999999997701527,0.01812682104676996,0.01812682105093636,0.8439376040264532,0.08949295615645532,1.0,8.754555504769087,6.605780408717692
a_5_equality_03,feasibility,5,7,-0.9999999997043196,0.9999999998521598,0.23285264146908613,0.23285264150351112,0.9864802750000113,0.2657689276631013,1.0,10.532201847992837,7.8860703045502305
a_5_equality_03,feasibility,5,8,-0.9999999998312945,0.9999999999156473,0.14585351968783747,0.14585351970014063,0.613827329058891,0.026710860309494763,1.0,12.564124518074095,9.183191873598844
a_5_equality_03,fidelity,5,1,0.05696842866837202,0.943031571331628,0.9430315713316281,1.0,1.0,0.33333333333333326,1.0,0.0005567171610891819,1.0995536264963448
a_5_equality_03,fidelity,5,2,4.9957759273466795e-05,0.9999590431498859,0.9999500422407267,0.9999909987221768,0.9999838332313812,0.33104154409528086,1.0,0.001018674112856388,2.1041956143453717
